City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,277.92,70,20,0.0,US,1680017058
1,pontian kecil,1.4801,103.3899,299.33,89,7,3.75,MY,1680017064
2,tura,25.5198,90.2201,295.35,40,7,1.91,IN,1680017064
3,hilo,19.7297,-155.09,295.53,93,40,2.24,US,1680016970
4,norman wells,65.282,-126.8329,270.17,93,100,0.0,CA,1680017064
5,victoria,22.2855,114.1577,293.84,87,100,1.34,HK,1680016801
6,rikitea,-23.1203,-134.9692,299.76,75,100,5.17,PF,1680017064
7,kota kinabalu,5.9749,116.0724,299.14,89,20,2.24,MY,1680017065
8,poum,-20.2333,164.0167,299.51,78,39,8.29,NC,1680017065
9,talnakh,69.4865,88.3972,245.87,99,94,2.55,RU,1680017065
10,port lincoln,-34.7333,135.8667,290.05,82,11,6.33,AU,1680017065
11,lebu,-37.6167,-73.65,286.97,86,63,3.32,CL,1680017066
12,kruisfontein,-34.0033,24.7314,298.09,39,100,7.46,ZA,1680017066
13,turayf,31.6725,38.6637,294.29,26,0,4.12,SA,1680017066
14,new norfolk,-42.7826,147.0587,287.55,90,100,1.18,AU,1680017066
15,kavieng,-2.5744,150.7967,300.32,77,100,2.2,PG,1680017066
16,ndele,8.4109,20.6473,309.95,23,85,3.07,CF,1680017067
17,kangaatsiaq,68.3065,-53.4641,253.68,97,87,2.1,GL,1680017067
18,mar del plata,-38.0023,-57.5575,299.79,55,0,12.35,AR,1680017067
19,bengkulu,-3.8004,102.2655,298.36,90,98,2.11,ID,1680017011
20,pevek,69.7008,170.3133,253.45,78,11,7.83,RU,1680017067
21,nanakuli,21.3906,-158.1547,295.3,91,0,2.06,US,1680017067
22,banda aceh,5.5577,95.3222,299.67,82,100,1.45,ID,1680017067
23,uruguaiana,-29.7547,-57.0883,300.11,61,0,2.06,BR,1680017068
24,mataura,-46.1927,168.8643,280.08,83,48,0.49,NZ,1680017068
25,nanortalik,60.1432,-45.2371,272.91,61,3,0.73,GL,1680017068
26,malakal,9.5334,31.6605,310.21,10,70,3.61,SS,1680017069
27,qaanaaq,77.484,-69.3632,250.9,69,81,2.36,GL,1680017069
28,oum hadjer,13.2954,19.6966,311.12,13,89,3.75,TD,1680017069
29,port alfred,-33.5906,26.891,297.69,68,98,2.61,ZA,1680017069
30,wagar,16.1525,36.2032,306.92,11,21,6.62,SD,1680017070
31,hermanus,-34.4187,19.2345,293.6,75,25,3.34,ZA,1680017070
32,tygda,53.1167,126.3333,271.03,95,88,1.91,RU,1680017070
33,kapaa,22.0752,-159.319,295.14,87,0,3.09,US,1680017070
34,olinda,-8.0089,-34.8553,303.0,62,20,3.6,BR,1680017071
35,karwar,14.8,74.1333,298.13,74,9,4.99,IN,1680017071
36,ilulissat,69.2167,-51.1,261.16,67,75,3.09,GL,1680017071
37,padang,-0.9492,100.3543,297.18,87,100,0.97,ID,1680017072
38,benguela,-12.5763,13.4055,301.5,64,85,3.85,AO,1680017072
39,salalah,17.0151,54.0924,302.2,74,75,5.14,OM,1680017072
40,albany,42.6001,-73.9662,279.79,61,97,1.79,US,1680017004
41,elk point,42.6833,-96.6836,270.87,56,6,2.55,US,1680017072
42,busselton,-33.65,115.3333,289.84,64,0,6.4,AU,1680017072
43,lasa,46.6166,10.7002,284.65,47,49,2.36,IT,1680017073
44,karpushikha,57.5017,59.8956,275.69,85,100,4.91,RU,1680017073
45,deputatskiy,69.3,139.9,256.58,95,100,3.26,RU,1680017073
46,ushuaia,-54.8,-68.3,276.94,75,20,4.12,AR,1680016816
47,viloco,-16.95,-67.55,284.31,63,38,2.94,BO,1680017073
48,longyearbyen,78.2186,15.6401,257.06,72,20,1.54,SJ,1680016890
49,vaini,-21.2,-175.2,297.24,94,40,1.03,TO,1680017074
50,barrow,71.2906,-156.7887,257.16,78,20,9.26,US,1680016913
51,springfield,37.2153,-93.2982,279.82,79,100,6.26,US,1680017056
52,corinth,37.9407,22.9573,290.31,35,4,7.13,GR,1680017074
53,rovinj,45.08,13.64,287.05,48,1,2.6,HR,1680017075
54,hobart,-42.8794,147.3294,287.74,97,100,3.09,AU,1680016823
55,ibra,22.6906,58.5334,299.21,49,61,3.75,OM,1680017075
56,manicore,-5.8092,-61.3003,302.92,66,100,1.19,BR,1680017075
57,boa vista,2.8197,-60.6733,304.14,48,75,6.17,BR,1680017075
58,castro,-24.7911,-50.0119,296.81,66,52,1.12,BR,1680017075
59,townsville,-19.25,146.8,296.64,94,40,2.57,AU,1680017075
60,puerto gaitan,4.3133,-72.0816,302.14,47,98,3.26,CO,1680017076
61,faanui,-16.4833,-151.75,301.09,70,31,4.88,PF,1680017076
62,maldonado,-34.6667,-54.9167,299.39,34,76,4.68,UY,1680017076
63,port elizabeth,-33.918,25.5701,299.32,36,0,6.69,ZA,1680017076
64,puerto ayora,-0.7393,-90.3518,303.13,90,49,1.34,EC,1680017076
65,east london,-33.0153,27.9116,298.67,69,0,2.57,ZA,1680017076
66,tuktoyaktuk,69.4541,-133.0374,266.15,86,100,5.14,CA,1680017076
67,kuah,6.3265,99.8432,301.14,83,20,1.03,MY,1680017077
68,yerbogachen,61.2767,108.0108,262.1,90,95,4.82,RU,1680017077
69,yellowknife,62.456,-114.3525,256.44,66,100,5.14,CA,1680016994
70,buala,-8.145,159.5921,299.73,83,100,2.02,SB,1680017077
71,solano,38.2333,-121.9511,283.74,81,100,4.63,US,1680017077
72,katsuura,35.1333,140.3,285.52,77,78,5.54,JP,1680017077
73,ialibu,-6.2821,143.9935,285.62,97,100,1.19,PG,1680017077
74,tautira,-17.7333,-149.15,299.87,80,91,3.46,PF,1680017077
75,kodiak,57.79,-152.4072,270.88,86,0,2.57,US,1680017077
76,carnarvon,-24.8667,113.6333,297.66,71,95,4.68,AU,1680017078
77,owando,-0.4819,15.8999,302.76,60,93,0.6,CG,1680017078
78,saskylakh,71.9167,114.0833,247.74,95,100,4.1,RU,1680017078
79,bluff,-46.6,168.3333,280.26,58,96,4.03,NZ,1680017078
80,te anau,-45.4167,167.7167,275.37,86,55,1.75,NZ,1680017078
81,rio formoso,-8.6636,-35.1586,303.18,60,44,3.54,BR,1680017078
82,bredasdorp,-34.5322,20.0403,293.11,58,34,7.29,ZA,1680017079
83,atasu,48.6814,71.6433,276.3,73,0,3.88,KZ,1680017079
84,nampula,-15.1165,39.2666,295.18,96,79,2.28,MZ,1680017079
85,kathu,7.9178,98.3332,303.54,99,54,0.06,TH,1680017079
86,arraial do cabo,-22.9661,-42.0278,301.13,69,75,3.09,BR,1680017079
87,leningradskiy,69.3833,178.4167,251.73,82,3,3.58,RU,1680017079
88,bambous virieux,-20.3428,57.7575,299.29,78,40,1.54,MU,1680017079
89,santa maria,-29.6842,-53.8069,300.76,57,0,2.57,BR,1680016839
90,chokurdakh,70.6333,147.9167,264.05,92,100,3.31,RU,1680017079
91,buraydah,26.326,43.975,298.4,17,0,4.79,SA,1680017080
92,mahibadhoo,3.7833,72.9667,301.37,73,12,3.69,MV,1680017080
93,souillac,-20.5167,57.5167,299.36,78,40,1.54,MU,1680017080
94,geraldton,-28.7667,114.6,295.38,53,81,3.6,AU,1680017080
95,iqaluit,63.7506,-68.5145,264.0,72,100,4.63,CA,1680017080
96,nampa,43.5407,-116.5635,278.81,61,100,7.2,US,1680016860
97,gorele,41.0308,39.0031,284.47,89,81,2.98,TR,1680017081
98,kilindoni,-7.9139,39.6668,300.62,76,95,2.83,TZ,1680017081
99,thompson,55.7435,-97.8558,254.24,71,75,3.09,CA,1680017081
100,yar-sale,66.8333,70.8333,251.79,100,95,3.46,RU,1680017081
101,cherskiy,68.75,161.3,256.26,81,34,6.17,RU,1680017081
102,flinders,-34.5833,150.8552,293.81,89,100,1.79,AU,1680017081
103,poso,-1.3959,120.7524,297.73,90,100,2.16,ID,1680017082
104,tual,-5.6667,132.75,299.77,86,100,9.27,ID,1680017082
105,majene,-3.5403,118.9707,299.64,84,100,2.3,ID,1680017082
106,shirokiy,49.758,129.523,275.22,56,37,3.62,RU,1680017082
107,bathsheba,13.2167,-59.5167,302.49,58,40,9.77,BB,1680017082
108,pyaozerskiy,65.8333,31.1667,267.37,89,100,2.21,RU,1680017082
109,krasnozerskoye,53.9828,79.2374,275.21,99,100,3.15,RU,1680017082
110,belmonte,-15.8631,-38.8828,302.05,59,4,3.39,BR,1680017082
111,goderich,43.7501,-81.7165,278.1,93,18,3.09,CA,1680017082
112,pisco,-13.7,-76.2167,298.18,83,99,3.6,PE,1680017083
113,bubaque,11.2833,-15.8333,299.02,68,6,4.38,GW,1680017083
114,bud,39.447,-86.1758,278.79,76,69,1.93,US,1680017083
115,nova olimpia,-14.7972,-57.2881,303.44,63,5,1.86,BR,1680017083
116,port hedland,-20.3167,118.5667,301.18,83,100,2.06,AU,1680017083
117,ancud,-41.8697,-73.8203,284.9,77,100,8.7,CL,1680017083
118,darhan,49.4867,105.9228,277.14,51,76,2.78,MN,1680017083
119,illapel,-31.6308,-71.1653,297.42,54,0,2.76,CL,1680017084
120,dikson,73.5069,80.5464,251.07,96,100,5.78,RU,1680017084
121,bintulu,3.1667,113.0333,299.38,94,20,1.03,MY,1680017084
122,mercedes,-34.6515,-59.4307,301.96,36,0,5.65,AR,1680017084
123,codrington,-38.2667,141.9667,285.86,85,3,2.64,AU,1680017084
124,viedma,-40.8135,-62.9967,298.6,27,64,6.27,AR,1680017084
125,teya,60.3778,92.6267,266.38,97,100,1.42,RU,1680017084
126,miramar,25.9873,-80.2323,302.6,69,0,3.09,US,1680016863
127,maceio,-9.6658,-35.7353,303.84,62,75,4.12,BR,1680016888
128,hami,42.8,93.45,288.38,14,0,4.82,CN,1680017085
129,dingle,10.9995,122.6711,298.18,83,97,3.08,PH,1680017085
130,laguna,38.421,-121.4238,287.58,67,100,7.2,US,1680017085
131,jinchang,38.4953,102.1739,283.82,19,98,1.9,CN,1680017085
132,cape town,-33.9258,18.4232,295.44,53,20,6.69,ZA,1680017085
133,kavaratti,10.5669,72.642,300.57,74,4,6.07,IN,1680017085
134,punta arenas,-53.15,-70.9167,279.21,61,40,8.23,CL,1680017085
135,derbent,42.0678,48.2899,285.19,72,1,5.25,RU,1680017086
136,idaho falls,43.4666,-112.0341,269.03,76,0,2.24,US,1680017086
137,georgetown,5.4112,100.3354,302.11,92,20,0.51,MY,1680017084
138,yarada,17.65,83.2667,302.33,84,40,2.06,IN,1680017086
139,iquitos,-3.7481,-73.2472,299.17,94,100,4.12,PE,1680016838
140,alto piquiri,-24.0281,-53.4406,299.62,72,43,4.73,BR,1680017086
141,esmeraldas,-19.7625,-44.3139,304.21,61,27,2.1,BR,1680016958
142,teguldet,57.3064,88.1667,276.75,98,100,6.44,RU,1680017086
143,tiksi,71.6872,128.8694,253.73,92,100,6.77,RU,1680017086
144,wamba,8.9333,8.6,311.94,9,41,2.99,NG,1680017087
145,channel-port aux basques,47.5702,-59.1367,274.86,74,100,3.18,CA,1680017087
146,olafsvik,64.8945,-23.7142,273.14,53,100,5.56,IS,1680017087
147,mathbaria,22.2876,89.9593,298.59,75,14,2.44,BD,1680017087
148,solwezi,-12.1688,26.3894,293.73,91,50,2.55,ZM,1680017087
149,axim,4.8699,-2.2405,303.06,67,48,5.1,GH,1680017087
150,andros town,24.7,-77.7667,301.13,66,53,3.47,BS,1680017087
151,nikolsk,53.7189,46.0712,282.43,64,92,2.57,RU,1680017087
152,gadarwara,22.9167,78.7833,302.22,21,2,2.31,IN,1680017088
153,okahandja,-21.9833,16.9167,301.27,35,88,5.71,NA,1680017088
154,samarai,-10.6167,150.6667,301.26,75,72,5.69,PG,1680016989
155,sayyan,15.1718,44.3244,290.13,61,91,2.33,YE,1680017088
156,ilhabela,-23.7781,-45.3581,299.49,69,39,1.86,BR,1680017088
157,solnechnyy,50.7214,136.6319,270.19,87,49,1.97,RU,1680017088
158,mazagao,-0.115,-51.2894,300.18,85,99,2.22,BR,1680017088
